2004-01-25,"サイト開設"
2004-03-01,"この更新履歴を作成。アクセスカウンタを設置。"
2004-03-02,"これで21世紀分の記録のHTML化は取り敢えず完了。"
2004-03-04,"山行記録に<a href=""ch2000.html"">2000年の分の一覧</a>を追加。<br>記録の内容はこれからおいおい作成の予定。"
2004-03-17,"山行記録に<a href=""ch1999.html"">1999年の分の一覧</a>を追加。<br>記録の内容はこれからおいおい作成の予定。"
2004-03-25,"<a href=""profile.html"">自己紹介</a>に日本三百名山の登頂状況を追加。"
2004-05-04,"山行記録の一覧のページを年別に分割。"
2004-05-12,"トップページに最近の山行を追加して、デザインを少し変更。<br><a href=""link.html"">リンク集</a> を追加。"
2004-06-16,"トップページの構成を大幅に変更。"
2004-08-27,"RSSで最近の山行記録の要約を公開。"
2004-08-28,"スタイルシートの変更（表示幅を固定）など。"
2004-09-03,"トップページの構成・デザインを変更。"
2004-09-29,"サイト全体をXHTML1.0に移行。RSS Auto Discovery に対応。"
2004-10-09,"3連休に台風直撃記念更新<span style=""color:blue;"">☂</span><span style=""color:blue;"">☂</span><span style=""color:blue;"">☂</span>…。<br>TOPと自己紹介のデザインをマイナーチェンジ。<br>各ページフッタのボタン変更、(C)の追加等。"
2004-11-17,"「日本地図から選択」を試験的に公開。改良のため随時更新します。"
2005-05-22,"このサイトのミラーを http://anineco.sakura.ne.jp/ に設置しました。<br>試用期間中（〜6/4）に問題がなければ移行する予定です。"
2005-05-28,"問題ないようなので引っ越しました。"
2005-07-07,"山行記録に<a href=""ch1998.html"">1998年の分の一覧</a>を追加。<br>記録の内容は山に行けない暇なときに追々作成の予定。"
2005-07-09,"今週末も<span style=""color:blue;"">☂</span>…。"
2005-10-03,"表紙を少し変更。表紙からのリンクの数を削減。"
2005-11-16,"表紙をブログ風味に全面的に改装。"
2005-12-29,"年別山行記録のページはプルダウンメニューで選択するように変更。<br>ついでに<a href=""ch2006.html"">2006年の山行記録のページ</a>を準備。"
2006-01-09,"更新履歴が長くなってきたので、年別に分割。"
2006-03-09,"掲示板を開設。"
2006-07-07,"<span title=""http://www.kiteya.net/script/msearch/"">msearch</span> を用いたHP内全文検索フォームをTOPページに追加。"
2006-10-06,"明日から三連休だが、仕事のため山行予定なし(T_T)。"
2006-12-15,"日本百、二百、三百名山のページを「日本三百名山」のページに統合。<br>「群馬百名山」のページを追加。<br>これらの変更に合わせてTOPをマイナーチェンジ。"
2007-07-07,"GPSのログを電子国土Webシステムに重ね合わせ、<br>ポップアップした窓に表示する仕組みを作成。<br>まず、<a href=""070303.html"">四郎岳</a>の山行記録に掲載して試験的に公開中。"
2007-08-02,"再開されたOUTDOOR WEBRINGに再登録。"
2007-12-23,"<a href=""071202.html"">ガッチン山・黒川無名沢</a> の山行記録に追記。<br>無名沢の名称がワタルクラ沢と判明。"
2008-05-11,"北海道全域の三角点標高改定に対応して、<br>「地図から選択」と「日本三百名山」を改訂。"
2008-10-08,"リンク集に電子国土関連のリンクを追加。"
2010-04-06,"サイトを http://anineco.org/ に移転しました。"
2011-02-07,"電子国土基本図（地図情報）を表示するようにルート地図を変更。"
2012-05-26,"サーバをスタンダードプランにグレードアップ。<br>サイトの文字コードをUTF-8へ全面的に変更。<br>「栃木百名山」のページを追加。"
2013-03-24,"<img src=""image/twitter-bird-16x16.png"" alt=""Twitter"" width=""16"" height=""16""> Twitter アカウント <a href=""https://twitter.com/anineco_org"">@anineco_org</a> を開設。<br>山行記録の新着情報や山行予定などをツイートします。"
2013-04-16,"「桐生地域百山」のページを追加。"
2013-12-21,"ルート地図のシステムを電子国土Webシステム（旧版）から<br>OpenLayers 2.13.1＋地理院地図に移行。"
2015-11-02,"サイト全体を改修してスマートフォンに対応。<br>ただし、地図、表を含むページの表示は一部不具合あり。"
2015-12-27,"スマホ対応：画像最適化、TOPページの簡略化。"
2016-06-28,"ルート地図を OpenLayers v3.16.0 に更新。"
2017-02-16,"ルート地図を OpenLayers v4.0.1 に更新。"
2017-02-19,"「地図から選択」で OpenLayers を利用した新方式のページを公開。"
2017-03-11,"「地図から選択」を全画面表示に改良。旧版を削除。"
2017-04-15,"トップページと2017年の山行記録の各ページをXHTML 1.0からHTML 5.1に変更し、4K解像度に対応。今後、他のページも随時HTML 5.1に移行。"
2017-06-19,"<a href=""ch1997.html"">山行一覧（1975〜1997年）</a>を追加。"
2017-10-14,"日本三百名山、群馬百名山、栃木百名山、桐生地域百山で山名のよみがなにルビを使用。"
2017-10-18,"サイト全体をHTTPS化（常時SSL）。"
2017-11-02,"サイト全体のHTML 5.1への移行を完了。"
2018-03-20,"「地図から選択」で、前回の表示から再開するように変更。"
2018-04-28,"雑記に <a href=""nandoku.html"">難読・稀少漢字山名</a> の記事を追加。"
2018-06-22,"さくらインターネットの新サーバに移転。"
2018-07-26,"ルート地図を OpenLayers v5.1.3 に更新。"
2018-07-29,"JPEG画像を PageSpeed Insights の方法で最適化し、容量を約1/5に圧縮。"
2018-10-28,"日本三百名山、群馬百名山、栃木百名山、桐生地域百山を「地図から選択」に移行し、Web地図で表示。"
2018-10-29,"「地図から選択」に信州百名山、山梨百名山を追加。"
2019-03-17,"ルート地図、地図から選択の上乗せファイル形式をGeoJSONに変更。"
2019-05-03,"「地図から選択」と「ルート地図」がIE11で閲覧できない不具合を修正。"
2019-05-21,"リンク切れ（Yahoo!ジオシティーズ終了等）を集中的に修正。"
2019-06-22,"ルート地図を改良（タスクバーの設置、Bing Mapsの航空写真の表示）。"
2019-11-05,"<a href=""bbs/index.cgi"" rel=""ugc"">掲示板</a> の<a href=""https://www.kent-web.com/bbs/joyful.html"">Joyful Note</a>をVer. 7.1にアップデート。"
2019-12-22,"トップと山行記録の各ページに Open Graph Protocol を設定。"
2019-12-24,"<a href=""bbs/index.cgi"" rel=""ugc"">掲示板</a> の<a href=""https://www.kent-web.com/bbs/joyful.html"">Joyful Note</a>をVer. 7.2にアップデート。"
2019-12-27,"地図から選択とルート地図を OpenLayers v6.1.1 に更新。"
2020-03-15,"「地図から選択」に埼玉百山（新ハイキングクラブ浦和支部選定）、うつくしま百名山を追加。"
2020-04-26,"「地図から選択」に足利百名山（田中良房氏選定）を追加。"
2020-08-22,"<a href=""nandoku.html"">難読・稀少漢字山名</a> を改訂。"
2020-08-24,"ルート地図の中心座標のポップアップ窓の表示形式を変更。"
2020-09-08,"SSL化されたサイトへのリンクを一括して https://〜 に書き換え。"
2020-12-13,"「地図から選択」のモバイル対応を改良。"
2021-01-25,"共通 JavaScript ファイル（js/tozan.js）を大幅に改訂。<br>「ルート地図」「地図から選択」のモバイル対応を改良。"
2021-03-24,"HTML5のsemantic要素を利用するようにサイト全体を改訂。"
2021-04-26,"「地図から選択」と「ルート地図」を OpenLayers v6.5.0 に更新。"
2021-07-11,"「<span title=""cookie.html"">Cookieについて</span>」を追加。"
2021-07-13,"「地図から選択」と「ルート地図」を OpenLayers v6.6.0 に更新。"
2021-10-02,"「地図から選択」と「ルート地図」を OpenLayers v6.8.1 に更新。<br>ⓘボタンで詳しい<a href=""map_help.html"">ヘルプとクレジット</a>を表示。"
2021-10-13,"「地図から選択」と「ルート地図」を OpenLayers v6.9.0 に更新。<br>「地図から選択」に越後百山（日本山岳会越後支部選定）を追加。"
